producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
Femitab 7 ovs 100/400 mg,FEMITAB,"CLINDAMICINA, KETOCONAZOL",INFECTOLOGÍA,7502001166110,SON'S,ACTIVO
Tapazol 20 tabletas 5 mg,TAPAZOL,TIAMAZOL,ENDOCRINOLOGÍA,7501300408938,SIEGFRIED RHEIN,ACTIVO
CENTRUM TAB C60,CENTRUM,"ÁCIDO ASCÓRBICO, ÁCIDO FÓLICO, TIAMINA",MULTIVITAMÍNICOS,7501065095923,HALEON,ACTIVO
Cardispan levocarnitina solución pediátrica 10% frasco 120 ml,CARDISPAN,LEVOCARNITINA,GASTROENTEROLOGÍA,7501123010738,BAUSCH HEALTH,ACTIVO
Pharmafil lp 20 tabletas 100 mg,PHARMAFIL LP,TEOFILINA,NEUMOLOGÍA,7502226291475,ALPHARMA,ACTIVO
Valtrover m 20 comprimidos 5 mg,VALTROVER,MONTELUKAST,NEUMOLOGÍA,7502009744976,MAVER,ACTIVO
Dequin 1 jarabe 100mg/120 ml,DEQUIN,"CLORFENAMINA, FENILEFRINA, GUAIFENESINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501825301059,DEGORT´S CHEMICAL,ACTIVO
Meticortelone jarabe infantil frasco 120ml,METICORTELONE,PREDNISOLONA,ENDOCRINOLOGÍA,7502209852471,ASPEN,ACTIVO
Dramamine 120 ml jarabe frasco dimenhidrinato 250 mg,DRAMAMINE,DIMENHIDRINATO,SISTEMA DIGESTIVO,7501007532349,KENVUE,ACTIVO
Bactropin 20 tabletas 80/400 mg,BACTROPIN,"SULFAMETOXAZOL, TRIMETOPRIMA",INFECTOLOGÍA,7502001165526,SON'S,ACTIVO
Glimetal 30 tabletas 2/1000mg,GLIMETAL,"GLIMEPIRIDA, METFORMINA",DIABETES,7501101611186,LABORATORIOS SILANES,ACTIVO
Nitrofurantoina 100 mg capsulas 40,BIOFURIN,NITROFURANTOÍNA,INFECTOLOGÍA,7501563310399,BIORESEARCH,ACTIVO
Adaferin gel 0.1% tubo 30g,ADAFERIN,ADAPALENO,DERMATOLOGÍA,3499320001526,GALDERMA,ACTIVO
Pensodil-s 5 sup 200/100 mg,PENSODIL-S,"NAPROXENO, PARACETAMOL",REUMATOLOGÍA,7502211784043,LOEFFLER,ACTIVO
Alin 30 tabletas 0.5mg,ALIN,DEXAMETASONA,ENDOCRINOLOGÍA,7501088505607,CHINOIN,ACTIVO
Vastionin 20mg capsula 30,VASTIONIN,ISOTRETINOÍNA,DERMATOLOGÍA,7502002461153,CENTRO INTERNACIONAL DE COSMIATRIA,ACTIVO
Janumet xr 14 tabletas 100/1000mg,JANUMET XR,"METFORMINA, SITAGLIPTINA",DIABETES,7502241941911,MERCK SHARP & DOHME,ACTIVO
Deflazacort 10 tabletas 30mg,ANTIBIOTICOS DE MEXICO,DEFLAZACORT,ENDOCRINOLOGÍA,7501349013223,ANTIBIOTICOS DE MEXICO,ACTIVO
Trayenta duo 30 tabletas 2.5/500mg,TRAYENTA DUO,"LINAGLIPTINA, METFORMINA",DIABETES,7501037935172,BOEHRINGER INGELHEIM MEXICO,ACTIVO
Lunazol frasco ámpula 1g/100ml,LUNAZOL,PARACETAMOL,ANALGÉSICOS,7501493873872,KENER,ACTIVO
Sonsval 15 ovulos 0.5 mg,SONSVAL,ESTRIOL,GINECOLOGÍA,7502001167018,SON'S,ACTIVO
Irflosol frasco 60 dosis 50/250mcg,IRFLOSOL,"FLUTICASONA, SALMETEROL",NEUMOLOGÍA,7502216934290,SANDOZ,ACTIVO
Klaricid iv 500mg ampolleta,KLARICID,CLARITROMICINA,INFECTOLOGÍA,7501033951374,ABBOTT,ACTIVO
Doflatem suspensión sabor piña frasco 120ml,DOFLATEM,DICLOFENACO,ANALGÉSICOS,7502211784241,LOEFFLER,ACTIVO
Atemperator lp 20 tabletas 600mg,ATEMPERATOR,VALPROATO DE MAGNESIO,NEUROLOGÍA,7501089800664,ARMSTRONG,ACTIVO
Rominsol 20 tabletas 325/37.5 mg,ROMINSOL,"PARACETAMOL, TRAMADOL",ANALGÉSICOS,7502227876015,RAAM,ACTIVO
Collicort 1 crema 2.5% 60 g,COLLICORT,HIDROCORTISONA,DERMATOLOGÍA,780083142544,COLLINS,ACTIVO
Flagyl 30 comprimidos 500mg,FLAGYL,METRONIDAZOL,GINECOLOGÍA,7501072340092,SANOFI PASTEUR,ACTIVO
Fastufrem 2.100g. top 50 g gel,FASTUFREM,KETOPROFENO,REUMATOLOGÍA,8470009167677,A MENARINI MEXICO S A DE C V,ACTIVO
Oxcarbazepina 20 tabletas 300mg,,OXCARBAZEPINA,NEUROLOGÍA,7501384542405,PSICOFARMA,ACTIVO
FOREZOL 15 TABLETAS 100MG,FOREZOL,FLUVOXAMINA,NEUROLOGÍA,7502223556379,SYNTHON,ACTIVO
Azitrocin frasco con polvo 900mg/22.5ml,AZITROCIN,AZITROMICINA,INFECTOLOGÍA,7501287687159,PFIZER,ACTIVO
Carbazina 200mg caja con 40 tabletas,CARBAZINA,CARBAMAZEPINA,NEUROLOGÍA,7501384505165,PSICOFARMA,ACTIVO
Cizole 2x1 60 capsulas 20 mg,CIZOLE,OMEPRAZOL,SISTEMA DIGESTIVO,656599000145,VICTORY,ACTIVO
Dexivant 14 cápsulas 60mg,DEXIVANT,DEXLANSOPRAZOL,GASTROENTEROLOGÍA,7501092722113,TAKEDA,ACTIVO
Tribedoce 50 000 5 ampolleta 100/50/1 mg,TRIBEDOCE,"HIDROXOCOBALAMINA, PIRIDOXINA, TIAMINA",HEMATOLOGÍA,7501537182960,BRUDIFARMA,ACTIVO
Temerit 5mg comprimidos 28,TEMERIT,NEBIVOLOL,CARDIOLOGÍA,7501070648022,SANFER,ACTIVO
ELUNEI 28 TABLETAS 200MG,ELUNEI,LACOSAMIDA,NEUROLOGÍA,7506442701534,ZYDUS,ACTIVO
Xarelto 28 comprimidos 20mg,XARELTO,RIVAROXABAN,HEMATOLOGÍA,7501318608788,BAYER,ACTIVO
Amtasiv 1 solución 600/100 mg/ 120 ml,AMTASIV,"AMBROXOL, LORATADINA",SISTEMA RESPIRATORIO,7501537102944,BRULUART,ACTIVO
Glicolic restauradora 60 gr crema tubo,GLICOLIC,ÁCIDO GLICÓLICO,CUIDADO DE LA PIEL,7705849004013,ITALMEX,ACTIVO
Pregabalina 14 cápsulas 75mg,ANTIBIOTICOS DE MEXICO,PREGABALINA,NEUROLOGÍA,7501349025967,ANTIBIOTICOS DE MEXICO,ACTIVO
Facicam 20 cápsulas 20mg,FACICAM,PIROXICAM,REUMATOLOGÍA,7501314703128,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
