producto,marca,sustancia_activa,categoria,ean,laboratorio,estatus
"Penprocilina 1 frasco con ampula 400, 000ui",PENPROCILINA,BENCILPENICILINA PROCAÍNA,INFECTOLOGÍA,7502009340154,LAKESIDE SALUD HUMANA SA DE CV,ACTIVO
Galvus met 30 comprimidos 50/850mg,GALVUS MET,"METFORMINA, VIDAGLIPTINA",DIABETES,7501094917005,NOVARTIS,ACTIVO
Gapridol 30 cápsulas 300mg,GAPRIDOL,GABAPENTINA,NEUROLOGÍA,7501384541507,PSICOFARMA,ACTIVO
TABCIN 60 TABLETAS EFERVESCENTES 500/8/2 MG,TABCIN,"ÁCIDO ACETILSALICÍLICO, CLORFENAMINA, FENILEFRINA",SISTEMA RESPIRATORIO,7501008495339,BAYER,ACTIVO
Solucion hartmann 1 solucion 250 ml,PISA,"CLORURO DE CALCIO, CLORURO DE POTASIO, CLORURO DE SODIO, LACTATO DE SODIO",SOLUCIONES HOSPITALARIAS,7501125100239,PISA,ACTIVO
Salpifar solucion 1g/100ml,SALPIFAR,PARACETAMOL,NEUROLOGÍA,7501125175701,PISA,ACTIVO
Zerpyco duo 60 cápsulas 100/300mg,ZERPYCO DUO,"BROMURO DE PINAVERIO, DIMETICONA",GASTROENTEROLOGÍA,7501471890044,BAUSCH HEALTH,ACTIVO
Tradol cápsulas 50 mg caja con 10,TRADOL,TRAMADOL,NEUROLOGÍA,7502209290341,GRÜNENTHAL,ACTIVO
Copinar 28 tabletas 100mg,COPINAR,LACOSAMIDA,NEUROLOGÍA,7730979095969,ASOFARMA,ACTIVO
Stadium-t 75/25mg tabletas 10,STADIUM,"DEXKETOPROFENO, TRAMADOL",NEUROLOGÍA,7501070635787,SANFER,ACTIVO
Fossin one polvo 3 g,FOSSIN ONE,FOSFOMICINA,INFECTOLOGÍA,7501300450388,WESER PHARMA,ACTIVO
Relacum 15mg/3ml ampolletas con 5,RELACUM,MIDAZOLAM,NEUROLOGÍA,7501125162800,PISA,ACTIVO
Pemix 1mg tabletas 50,PEMIX,CINITAPRIDA,GASTROENTEROLOGÍA,8430308028703,GRÜNENTHAL,ACTIVO
Abasaglar kwikpen 1 pluma precargada 100u/ml 3ml,ABASAGLAR,INSULINA GLARGINA,DIABETES,7501082203103,ELI LILLY,ACTIVO
Patector solución inyectable 1 jeringa prellenada 150/10mg,PATECTOR,"ALGESTONA, ESTRADIOL",GINECOLOGÍA,7501070903336,CARNOT,ACTIVO
Bicartial 14 cápsulas 5/100mg,BICARTIAL,"AMLODIPINO, LOSARTÁN",CARDIOLOGÍA,7501101649660,LABORATORIOS SILANES,ACTIVO
Sunam 0.25 mg oral 30 tabletas,SUNAM,PRAMIPEXOL,NEUROLOGÍA,7503006916731,SUN PHARMA DE MEXICO S.A. DE,ACTIVO
Naxifelar 250 mg/5ml oral 100 ml suspension,NAXIFELAR,CEFALEXINA,INFECTOLOGÍA,7501125140723,PISA,ACTIVO
Stomffler plus 1 suspension 2.5g/2g/120 ml,STOMFFLER PLUS,"DIYODOHIDROXIQUINOLEÍNA, METRONIDAZOL",INFECTOLOGÍA,7502211780069,LOEFFLER,ACTIVO
Kriadex frasco ámpula 20ml,KRIADEX,CLONAZEPAM,NEUROLOGÍA,7501384520601,PSICOFARMA,ACTIVO
Laritol ex 10 tabletas 5/30mg,LARITOL EX,"AMBROXOL, LORATADINA",SISTEMA RESPIRATORIO,7502009741005,MAVER,ACTIVO
Voltaren retard 100 mg oral 20 grageas,VOLTAREN,DICLOFENACO,REUMATOLOGÍA,7501094910396,NOVARTIS,ACTIVO
Glucovance 60 tabletas 500/5mg,GLUCOVANCE,"GLIBENCLAMIDA, METFORMINA",DIABETES,7501298244907,MERCK,ACTIVO
FLORATIL 250 MG CON 6 SOBRES,FLORATIL,SACCHAROMYCES BOULARDII CNCM I-745,SISTEMA DIGESTIVO,7500327050236,BIOCODEX DE MEXICO,ACTIVO
Amoxil suspensión 250mg frasco 75ml,AMOXIL,AMOXICILINA,INFECTOLOGÍA,7501070613549,GLAXOSMITHKLINE,ACTIVO
Nuro b 20 tabletas 7.5mg,NURO B,MELOXICAM,REUMATOLOGÍA,7501250822174,RIMSA,ACTIVO
Cirulan 20 tabletas 10mg,CIRULAN,METOCLOPRAMIDA,GASTROENTEROLOGÍA,7501075710786,NOVAG,ACTIVO
Nexium 7 tabletas 40 mg,NEXIUM,OMEPRAZOL,SISTEMA DIGESTIVO,7501098611312,ASTRAZENECA,ACTIVO
Astopil solución 5.0% aerosol 60g,ASTOPIL,MINOXIDIL,TRATAMIENTO CAPILAR,7501258210010,LAKESIDE SALUD HUMANA SA DE CV,ACTIVO
Elantan 20 mg oral 30 tabletas,ELANTAN,ISOSORBIDA,CARDIOLOGÍA,7501033953057,ABBOTT,ACTIVO
Bepanthen pomada 30 gr pomada tubo dexpantenol 5 gr,BEPANTHEN,DEXPANTENOL,CUIDADO DEL BEBÉ,7501008427347,BAYER,ACTIVO
Forezol 30 tabletas 100mg,FOREZOL,FLUVOXAMINA,NEUROLOGÍA,7502223556386,SYNTHON,ACTIVO
Ceftriaxona iv frasco ámpula 1g/10ml,ANTIBIOTICOS DE MEXICO,CEFTRIAXONA,INFECTOLOGÍA,7501349022010,ANTIBIOTICOS DE MEXICO,ACTIVO
Haldol frasco gotero 30ml,HALDOL,HALOPERIDOL,NEUROLOGÍA,7501109930135,MOKSHA8,ACTIVO
Tamex 10 tabletas 5/0.25 mg,TAMEX,"BETAMETASONA, LORATADINA",ALERGOLOGÍA,7501258204002,SERRAL,ACTIVO
Liberdux jarabe pediátrico frasco 120ml,LIBERDUX,DESLORATADINA,ALERGOLOGÍA,7501300420268,SIEGFRIED RHEIN,ACTIVO
Deflamox plus suspensión frasco 75ml,DEFLAMOX PLUS,"NAPROXENO, PARACETAMOL",REUMATOLOGÍA,7501385491146,SANFER,ACTIVO
Flagenase 400 ped suspensión frasco 120ml,FLAGENASE 400,"DIYODOHIDROXIQUINOLEÍNA, METRONIDAZOL",GINECOLOGÍA,7501299301128,LIOMONT RX,ACTIVO
Bpollen gel 5% tubo 60gr,BPOLLEN,PERÓXIDO DE BENZOILO,DERMATOLOGÍA,7502002461306,CENTRO INTERNACIONAL DE COSMIATRIA,ACTIVO
TADALAFIL ALPHA 1 TABLETA 20MG,,TADALAFIL,UROLOGÍA,7502226296098,ALPHARMA,ACTIVO
Levonorgestrel 1 tabletas 1.5 mg,,LEVONORGESTREL,GINECOLOGÍA,7502216806474,ULTRA LABORATORIOS,ACTIVO
Vifol + hierro 60 tabletas 180 mg,VIFOL,"ÁCIDO FÓLICO, HIERRO",SUPLEMENTO ALIMENTICIO,7502259891130,NATUREX,ACTIVO
Dolaren crema tubo 45g,DOLAREN,DICLOFENACO,REUMATOLOGÍA,7501070900373,CARNOT,ACTIVO
Zovirax 5 g cutaneo 5 g crema,ZOVIRAX,ACICLOVIR,DERMATOLOGÍA,7501046482322,GLAXOSMITHKLINE,ACTIVO
Azgorfin 3 tabletas 500 mg,AZGORFIN,AZITROMICINA,INFECTOLOGÍA,7501825304999,DEGORT´S CHEMICAL,ACTIVO
Onofin-k 10 tabletas 200 mg,ONOFIN-K,KETOCONAZOL,ANTIMICÓTICOS,7502003385540,RAYERE,ACTIVO
Ifa lose mazindol 1 mg 30 tabletas,LOSE,MAZINDOL,GASTROENTEROLOGÍA,7501249601490,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
MEMANTINA ALPHA 20 TABLETAS 10MG,,MEMANTINA,NEUROLOGÍA,7501384547912,ALPHARMA,ACTIVO
Calneren 30 tabletas 300/100/20mg,CALNEREN,"CIANOCOBALAMINA, GABAPENTINA, TIAMINA",NEUROLOGÍA,7501258210263,LAKESIDE SALUD HUMANA SA DE CV,ACTIVO
Exetin a solución frascos ámpula de 1ml 6 piezas caja eritropoyetina humana recombin 2000 ui,EXETIN-A,ERITROPOYETINA HUMANA RECOMBINANTE,HEMATOLOGÍA,7501125117732,PISA,ACTIVO
Autevazen 30 tabletas 1g,AUTEVAZEN,LEVETIRACETAM,NEUROLOGÍA,7506331301173,CEL MEDIKA SAPI DE CV,ACTIVO
Irbesartán 14 tabletas 300mg,ANTIBIOTICOS DE MEXICO,IRBESARTÁN,CARDIOLOGÍA,7501349020535,ANTIBIOTICOS DE MEXICO,ACTIVO
Broxol pediátrico gotas 30ml,BROXOL,AMBROXOL,NEUMOLOGÍA,7501124109509,CARNOT,ACTIVO
Eskazole suspensión infantil 400mg/10ml,ESKAZOLE,ALBENDAZOL,SISTEMA DIGESTIVO,7501089801432,ARMSTRONG,ACTIVO
Augmentin 12h suspensión pediátrica frasco 60ml,AUGMENTIN,"ÁCIDO CLAVULÁNICO, AMOXICILINA",INFECTOLOGÍA,7501064550775,GLAXOSMITHKLINE,ACTIVO
CENTRUM PERFORM TABC100 NVA I,CENTRUM,"ÁCIDO ASCÓRBICO, ÁCIDO FÓLICO, TIAMINA",MULTIVITAMÍNICOS,7501065095985,HALEON,ACTIVO
Afungil 1 cápsula 150mg,AFUNGIL,FLUCONAZOL,INFECTOLOGÍA,7501314705313,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Almetec tri 40/5/12.5mg oral 28 tabletas,ALMETEC TRI,"AMLODIPINO, HIDROCLOROTIAZIDA, OLMESARTÁN",CARDIOLOGÍA,7501050632058,ORGANON COMERCIALIZADORA,ACTIVO
Lindeza 84 cápsulas 120mg,LINDEZA,ORLISTAT,GASTROENTEROLOGÍA,7501125154706,PISA,ACTIVO
Klodex clonazepam 2 mg 100 tabletas,KLODEX,CLONAZEPAM,NEUROLOGÍA,7501249602176,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Zoltum 14 comprimidos caja pantoprazol 20 mg,ZOLTUM,PANTOPRAZOL,GASTROENTEROLOGÍA,7501871721498,ASOFARMA,ACTIVO
Quadriderm nf crema tubo 30g,QUADRIDERM,"BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",DERMATOLOGÍA,7501050603997,ORGANON COMERCIALIZADORA,ACTIVO
Celecoxib 10 cápsulas 200mg,,CELECOXIB,REUMATOLOGÍA,7502226294858,ALPHARMA,ACTIVO
ETACORTILEN 5 SOBRES 0.3ML,ETACORTILEN,DEXAMETASONA,OFTALMOLOGÍA,7503014492166,SIFI,ACTIVO
Invery 50 ampolletas 4 ml,INVERY,NOREPINEFRINA,CARDIOLOGÍA,7502009746642,MAVER,ACTIVO
Nistatina 100 000ui suspension 24ml,,NISTATINA,DERMATOLOGÍA,7503004908844,ALPHARMA,ACTIVO
Dou pack refresh tears frasco gotero 15 ml,REFRESH,CARBOXIMETILCELULOSA,OFTALMOLOGÍA,7501201401106,ABBVIE,ACTIVO
Janumet 28 comprimidos 50/500mg,JANUMET,"METFORMINA, STAGLIPTINA",DIABETES,7501326004060,MERCK SHARP & DOHME,ACTIVO
Eutirox 50 tabletas 125mcg,EUTIROX,LEVOTIROXINA SÓDICA,ENDOCRINOLOGÍA,7501298209067,MERCK,ACTIVO
Venlafaxina 20 capsulas 75 mg,ANTIBIOTICOS DE MEXICO,VENLAFAXINA,NEUROLOGÍA,7501349025530,ANTIBIOTICOS DE MEXICO,ACTIVO
Benolaxe 20 cápsulas 75mg,BENOLAXE,VENLAFAXINA,NEUROLOGÍA,7502225094770,LANDSTEINER,ACTIVO
Biopafen 20 tabletas 150mg,BIOPAFEN,PROPAFENONA,CARDIOLOGÍA,7501563381351,BIORESEARCH,ACTIVO
Xumer 120 mg 7 tabletas,XUMER,ETORICOXIB,REUMATOLOGÍA,7730979097833,ASOFARMA,ACTIVO
Silka medic gel tubo 30g,SILKA MEDIC,TERBINAFINA,ANTIMICÓTICOS,650240005398,GENOMMA LAB,ACTIVO
Durater 10 comprimidos 40mg,DURATER,FAMOTIDINA,GASTROENTEROLOGÍA,7501314704644,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
Charyn 4 tabletas 500mg,CHARYN,AZITROMICINA,INFECTOLOGÍA,7502240450025,WERMAR PHARMACEUTICALS,ACTIVO
Norsat-duo 28 tabletas 20/12.5 mg,NORSAT-DUO,"HIDROCLOROTIAZIDA, OLMESARTÁN",CARDIOLOGÍA,7506442702449,BELENUS PHARM,ACTIVO
Dolne 10 tabletas 100mg,DOLNE,TRAMADOL,NEUROLOGÍA,7501384544539,PSICOFARMA,ACTIVO
Seltz complejo b efervescente 80 g tabletas tubo vitamina c 2.2 mg,SELTZ,ÁCIDO FÓLICO,MULTIVITAMÍNICOS,4022679137692,SERRAL,ACTIVO
Tempus pharma clonazepam 2mg tabletas con 100,TEMPUS PHARMA,CLONAZEPAM,NEUROLOGÍA,7501249607928,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Daclafin antiácido suspensión 120ml,DACLAFIN,SUBSALICILATO DE BISMUTO,SISTEMA DIGESTIVO,7502253601339,MEDICONSA S.A. DE C.V.,ACTIVO
Yadegal comprimidos 1 jarabe 10/1.5/100mg/5/120 ml,YADEGAL,"CLORFENAMINA, DEXTROMETORFANO, GUAIFENESINA",NEUMOLOGÍA,7502003388510,RAYERE,ACTIVO
Piascledine 300 10200mg oral 30 capsulas,PIASCLEDINE,"GLYCINE MAX, PERSEA GRATISSIMA",REUMATOLOGÍA,7501022110348,EXPANSCIENCE,ACTIVO
Dolo neurobion 5 tabletas,DOLO-NEUROBIÓN,"CIANOCOBALAMINA, DICLOFENACO SÓDICO, PIRIDOXINA, TIAMINA",ANALGÉSICOS,7501298223728,PROCTER & GAMBLE,ACTIVO
"Amoxicilina, ac clav suspensión frasco 50ml",ANTIBIOTICOS DE MEXICO,"ÁCIDO CLAVULÁNICO, AMOXICILINA",INFECTOLOGÍA,7501349029828,ANTIBIOTICOS DE MEXICO,ACTIVO
"Trimetoprima, sulfametoxazol 20 tabletas 80/400mg",,"SULFAMETOXAZOL, TRIMETOPRIMA",INFECTOLOGÍA,7502226291918,ALPHARMA,ACTIVO
Cynomel 25mg tabletas 100,CYNOMEL,LIOTIRONINA,ENDOCRINOLOGÍA,75015961,BAUSCH HEALTH,ACTIVO
Rosuvastatina 10 mg divotran 30 tabletas caja,DIVOTRAN,ROSUVASTATINA,CARDIOLOGÍA,7501277029990,APOTEX,ACTIVO
Garbican 28 cápsulas 150mg,GARBICAN,PREGABALINA,NEUROLOGÍA,7501299307489,LIOMONT RX,ACTIVO
Quetiapina psico 100mg tabletas 30,,QUETIAPINA,NEUROLOGÍA,7501384545680,PSICOFARMA,ACTIVO
Vick pyrena granulado paracetamol 500mg 8 sobres,VICK,"FENILEFRINA, PARACETAMOL",SISTEMA RESPIRATORIO,7501001168889,PROCTER & GAMBLE,ACTIVO
Amikacina 2 ampolletas 500mg/2ml,ANTIBIOTICOS DE MEXICO,AMIKACINA,GINECOLOGÍA,7501349021488,ANTIBIOTICOS DE MEXICO,ACTIVO
Iltux 28 tabletas 40mg,ILTUX,OLMESARTÁN MEDOXOMILO,CARDIOLOGÍA,7841141002712,ASOFARMA,ACTIVO
Amoxil 12 cápsulas 500mg,AMOXIL,AMOXICILINA,INFECTOLOGÍA,7501070613440,GLAXOSMITHKLINE,ACTIVO
Firsito 14 tabletas caja escitalopram 10 mg,FIRSITO,ESCITALOPRAM,NEUROLOGÍA,8901120019540,ZYDUS,ACTIVO
Deviplat 14 tabletas 75 mg,DEVIPLAT,CLOPIDOGREL,HEMATOLOGÍA,7501075719253,NOVAG,ACTIVO
Tiaminal b12 trivalente ap 30 cápsulas,TIAMINAL,"CIANOCOBALAMINA, PIRIDOXINA, TIAMINA",HEMATOLOGÍA,7501101627224,LABORATORIOS SILANES,ACTIVO
Proxalin-plus 16 tabletas 250/300 mg,PROXALIN PLUS,"NAPROXENO, PARACETAMOL",REUMATOLOGÍA,7501825300724,DEGORT´S CHEMICAL,ACTIVO
Aspirina junior 60 tabletas caja ácido acetilsalicílico 100 mg,ASPIRINA JUNIOR,ÁCIDO ACETILSALICÍLICO,ANALGÉSICOS,7501008494226,BAYER,ACTIVO
Profenid 100 mg oral 20 capsulas,PROFENID,KETOPROFENO,REUMATOLOGÍA,7501165002791,SANOFI PASTEUR,ACTIVO
Akatinol 10 mg con 56 tabletas,AKATINOL,MEMANTINA,NEUROLOGÍA,4046222601652,GRÜNENTHAL,ACTIVO
Hipermessel 30 tabletas 250 mg,HIPERMESSEL,METILDOPA,CARDIOLOGÍA,7501573900122,BIOMEP,ACTIVO
Espironolactona 20 tabletas 25 mg,,ESPIRONOLACTONA,CARDIOLOGÍA,7502216804746,AVIVIA PHARMA,ACTIVO
Dalvear jarabe infantil sabor miel frasco 200ml,DALVEAR,"BROMHEXINA, DROPROPIZINA",NEUMOLOGÍA,7501086310401,SIEGFRIED RHEIN,ACTIVO
Lamisil 30 comprimidos 250mg pack 2+1,LAMISIL,TERBINAFINA,INFECTOLOGÍA,7501124814090,NOVARTIS,ACTIVO
Tsuyoi 0.05% crema 50g,TSUYOI,CLOBETASOL,DERMATOLOGÍA,7501258210331,LAKESIDE SALUD HUMANA SA DE CV,ACTIVO
Elatec 500mg tabletas 60,ELATEC,"DIOSMINA, HESPERIDINA",CARDIOLOGÍA,3594456400653,BECKMAN LABORATORIES DE MEXICO,ACTIVO
Gantena 30 tabletas 20mg,GANTENA,ROSUVASTATINA,CARDIOLOGÍA,7501314705832,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
ANTIVON ONDANSETRÓN 4 MG SOLUCIÓN INYECTABLE AMPOLLETA 2 ML,ANTIVON,ONDANSETRÓN,GASTROENTEROLOGÍA,7501125142246,PISA,ACTIVO
Meticorten 30 tabletas 20mg,METICORTEN,PREDNISONA,ENDOCRINOLOGÍA,7502209852426,ASPEN,ACTIVO
Aviant 5 mg oral 10 tabletas,AVIANT,DESLORATADINA,ALERGOLOGÍA,7501050600316,ORGANON COMERCIALIZADORA,ACTIVO
Neocholal s solución oral 42 cápsulas 45mg,NEOCHOLAL-S,SILYBUM MARIANUM,GASTROENTEROLOGÍA,7501390913930,ITALMEX,ACTIVO
Cardomicin jb 150/80 fsa inf 200ml,CARDOMICIN,"BROMHEXINA, DROPROPIZINA",NEUMOLOGÍA,7501300450449,WESER PHARMA,ACTIVO
Bexident post top 25 ml,BEXIDENT,CLORHEXIDINA,HIGIENE ORAL,8429420084674,ISDIN,ACTIVO
Decatriol 30 capsulas 0.00025 mg,DECATRIOL,CALCITRIOL,SUPLEMENTO ALIMENTICIO,7501471889314,TECNOFARMA,ACTIVO
Flosep 8 tabletas 400 mg,FLOSEP,OFLOXACINO,INFECTOLOGÍA,785118753887,MAVI FARMACEUTICA,ACTIVO
Openvas 40 mg oral 14 tabletas,OPENVAS,OLMESARTÁN,CARDIOLOGÍA,7500326030024,A MENARINI MEXICO S A DE C V,ACTIVO
Miconazol 1 crema 20 mg,MENAZAN,MICONAZOL,DERMATOLOGÍA,7501573902720,BIOMEP,ACTIVO
Pensiral 30 tabletas 400 mg,PENSIRAL,PENTOXIFILINA,CARDIOLOGÍA,7501258204590,SERRAL,ACTIVO
Donodol compuesto 20 tabletas 125/10mg,DONODOL COMPUESTO,CLONIXINATO DE LISINA,GASTROENTEROLOGÍA,7501089808790,ARMSTRONG,ACTIVO
Senosidos a-b 20 tabletas 8.6 mg,,SENÓSIDOS A-B,SISTEMA DIGESTIVO,821998000595,LABORATORIOS SCHOEN,ACTIVO
Dolocam plus 20 cápsulas 7.5/215mg,DOLOCAM PLUS,"MELOXICAM, METOCARBAMOL",REUMATOLOGÍA,7501250813608,RIMSA,ACTIVO
Mugasin naranja 1 polvo 49.7/100g de 500 g,MUGASIN,PLANTAGO PSYLLIUM,SISTEMA DIGESTIVO,7501277028092,APOTEX,ACTIVO
Soltrim f 14 tabletas 160/800 mg,SOLTRIM,"SULFAMETOXAZOL, TRIMETOPRIMA",INFECTOLOGÍA,7501537189747,BRUDIFARMA,ACTIVO
Celecoxib 10 capsulas 200mg,,CELECOXIB,REUMATOLOGÍA,7502216805576,AVIVIA PHARMA,ACTIVO
Erispan comprimidos 10 tabletas 5/0.25 mg,ERISPAN COMPUESTO,"BETAMETASONA, LORATADINA",ALERGOLOGÍA,7502009746239,MAVER,ACTIVO
TELARTEQ URTI 80/12 5MG TAB C14,TELARTEQ URTI,"HIDROCLOROTIAZIDA, TELMISARTÁN",CARDIOLOGÍA,7501125183720,PISA,ACTIVO
Canesten 1% crema 30g,CANESTEN,CLOTRIMAZOL,ANTIMICÓTICOS,7501318644335,BAYER,ACTIVO
Tevardis 30 tabletas 10mg,TEVARDIS,LERCANIDIPINO,CARDIOLOGÍA,7501559612506,LEMERY,ACTIVO
Nexium iv 40mg solución 1,NEXIUM,ESOMEPRAZOL,SISTEMA DIGESTIVO,5000456013666,ASTRAZENECA,ACTIVO
E-mizol (nitr/ isoconazol) 1 crema 1%/20 g,E-MIZOL,ISOCONAZOL,DERMATOLOGÍA,7501672690252,ARLEX,ACTIVO
Pantozol 40 mg oral 14 grageas,PANTOZOL,PANTOPRAZOL,GASTROENTEROLOGÍA,7501092785026,TAKEDA,ACTIVO
Amoebriz suspensión frasco 60/10mg 10ml,AMOEBRIZ,"MEBENDAZOL, QUINFAMIDA",INFECTOLOGÍA,7501109904426,JANSSEN CILAG DE MEXICO,ACTIVO
Proxalin-plus 1 suspensión 2.5/2g/100 ml,PROXALIN PLUS,"NAPROXENO, PARACETAMOL",NEUROLOGÍA,7501825300717,FARMACEUTICOS TENORIO SA DE CV,ACTIVO
Vermox 1 dia 60 mg oral 10 ml,VERMOX,MEBENDAZOL,SISTEMA DIGESTIVO,7501109904853,JANSSEN CILAG DE MEXICO,ACTIVO
Complejo b 30 tabletas,,"CIANOCOBALAMINA, PIRIDOXINA, TIAMINA",MULTIVITAMÍNICOS,7502216792784,ULTRA LABORATORIOS,ACTIVO
Queriter 30 capsulas 300 mg,QUERITER,GARCINIA CAMBOGIA,SUPLEMENTO ALIMENTICIO,7501590285028,CMD,ACTIVO
Citox 28 tabletas 20mg,CITOX,CITALOPRAM,NEUROLOGÍA,7503006916083,SUN PHARMA DE MEXICO S.A. DE,ACTIVO
Galactus frasco ámpula 100ui/ml 10ml,GALACTUS,INSULINA GLARGINA,DIABETES,7501125167218,PISA,ACTIVO
Toujeo 300u/ml pluma prellenada 3x1.5ml,TOUJEO,INSULINA GLARGINA,DIABETES,7501165010628,SANOFI PASTEUR,ACTIVO
Tabletas masticables pepto bismol c100,PEPTO-BISMOL,SUBSALICILATO DE BISMUTO,SISTEMA DIGESTIVO,7501001258023,PROCTER & GAMBLE,ACTIVO
Acc 20 tabletas efervescentes 200mg,ACC,ACETILCISTEÍNA,NEUMOLOGÍA,7502216931220,SANDOZ,ACTIVO
Jardianz 10mg tabletas 30,JARDIANZ,EMPAGLIFLOZINA,ENDOCRINOLOGÍA,7501034600196,BOEHRINGER INGELHEIM MEXICO,ACTIVO
Quimikan 1 solucion con apli 10 ml 200mg/ 1 ml,QUIMIKAN,BENZOCAÍNA,NEUROLOGÍA,7502223112445,LABORATORIOS QUIMPHARMA,ACTIVO
Fenitoína sódica 50 tabletas 100mg,,FENITOÍNA SÓDICA,NEUROLOGÍA,7501384544225,PSICOFARMA,ACTIVO
Saridon 10 comprimidos caja paracetamol 500 mg,SARIDON,"CAFEÍNA, PARACETAMOL",ANALGÉSICOS,7501008497784,BAYER,ACTIVO
Flospro 200 mg probiótico 10 sobres,FLOS-PRO,SACCHAROMYCES BOULARDII,GASTROENTEROLOGÍA,7506429300064,ELMOR,ACTIVO
Glimetal lex 30 tabletas 2/850mg,GLIMETAL LEX,"GLIMEPIRIDA, METFORMINA",DIABETES,7501101611148,LABORATORIOS SILANES,ACTIVO
Telmisartán 28 tabletas 80mg,ANTIBIOTICOS DE MEXICO,TELMISARTÁN,CARDIOLOGÍA,7501349025806,ANTIBIOTICOS DE MEXICO,ACTIVO
Zyplo 60 mg oral 10 tabletas,ZYPLO,LEVODROPROPIZINA,NEUMOLOGÍA,7501089809902,ARMSTRONG,ACTIVO
Dolo bedoyecta 30 tabletas,DOLO BEDOYECTA,"CIANOCOBALAMINA, KETOPROFENO, PIRIDOXINA, TIAMINA",REUMATOLOGÍA,7501123001019,BAUSCH HEALTH,ACTIVO
Omelina gel 60 capsulas 400/320 mg,OMELINA,"OMEGA 3, OMEGA 6, OMEGA 9",SUPLEMENTO ALIMENTICIO,7503002047958,GELPHARMA,ACTIVO
Skudexa 75/25mg caja con 20 tabletas,SKUDEXA,"DEXKETOPROFENO, TRAMADOL",REUMATOLOGÍA,7506317100660,A MENARINI MEXICO S A DE C V,ACTIVO
Amoxil 12h 10 tabletas 875mg,AMOXIL,AMOXICILINA,INFECTOLOGÍA,7501070613389,GLAXOSMITHKLINE,ACTIVO
Plendil 30 tabletas 5 mg,PLENDIL,FELODIPINO,CARDIOLOGÍA,7501098611862,ASTRAZENECA,ACTIVO
TEMPUS PHARMA LEVONORGESTREL 1.5 MG CON 1 TABLETA,TEMPUS PHARMA,LEVONORGESTREL,GINECOLOGÍA,7501249600042,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Naproxeno 30 tabletas 250 mg,,NAPROXENO,ANALGÉSICOS,7503004908769,ALPHARMA,ACTIVO
Valmetrol-3 800 ui oral 50 tabletas,VALMETROL-3,COLECALCIFEROL,REUMATOLOGÍA,7501446000898,VALDECASAS,ACTIVO
Foshlenn 16 capsulas 300 mg,FOSHLENN,CLINDAMICINA,INFECTOLOGÍA,7502227870228,RAAM,ACTIVO
Lagricel ofteno 20dosis gotas 0.5ml,LAGRICEL,HIALURONATO DE SODIO,OFTALMOLOGÍA,736085280005,SOPHIA,ACTIVO
Hipromelosa 1 solución oft 5mg/10ml,,HIPROMELOSA,OFTALMOLOGÍA,8400005830,INNOVARE,ACTIVO
Neurobion 60 tabletas,NEUROBION,"CIANOCOBALAMINA, PIRIDOXINA, TIAMINA",MULTIVITAMÍNICOS,7501298265100,PROCTER & GAMBLE,ACTIVO
Dimegan solución pediátrica frasco 30ml,DIMEGAN,LORATADINA,ALERGOLOGÍA,7501314703777,LABORATORIOS SENOSIAIN S.A. DE,ACTIVO
DESVENLAFAXINA 100 MG C/28 TABS TEMPUS,TEMPUS PHARMA,DESVENLAFAXINA,NEUROLOGÍA,7501249603999,INVESTIGACIÓN FARMACÉUTICA,ACTIVO
Everest 30 tabletas masticables 5mg,EVEREST,MONTELUKAST,NEUMOLOGÍA,7501299330241,LIOMONT RX,ACTIVO
Ensure advance alimentación especializada en polvo única con hmb vainilla 400 gr lata,ENSURE ADVANCE,"ÁCIDO FÓLICO, VITAMINA C, VITAMINA E",SUPLEMENTO ALIMENTICIO,7501033957420,ABBOTT ANI (NUTRICIONALES),ACTIVO
Tri-vi-sol solución 150000ui 50ml,TRI-VI-SOL,"ÁCIDO ASCÓRBICO, COLECALCIFEROL, RETINOL",MULTIVITAMÍNICOS,7501300407283,SIEGFRIED RHEIN,ACTIVO
Chipten 20 tabletas 20mg,CHIPTEN,PAROXETINA,NEUROLOGÍA,7501125175756,PISA,ACTIVO
Bionolip 30 tabletas 200mg,BIONOLIP,BEZAFIBRATO,CARDIOLOGÍA,7501563380064,BIORESEARCH,ACTIVO
Libertrim 24 comprimidos 200mg,LIBERTRIM,TRIMEBUTINA,GASTROENTEROLOGÍA,7501070903800,CARNOT,ACTIVO
Go 4 tabletas 100mg,GO,SILDENAFIL,UROLOGÍA,7501299308721,LIOMONT RX,ACTIVO
Mucoflux oral 120 ml solucion,MUCOFLUX,"AMBROXOL, SALBUTAMOL",NEUMOLOGÍA,7501299301999,LIOMONT RX,ACTIVO
Trayenta duo 30 tabletas 2.5/850mg,TRAYENTA DUO,"LINAGLIPTINA, METFORMINA",DIABETES,7501037935196,BOEHRINGER INGELHEIM MEXICO,ACTIVO
